home_age,roof_age,square_footage,coverage_a,iso_class,fire_station_distance,prior_claims_5yr,water_loss_recency,credit_score,property_value,deductible,wind_hail_score,crime_index,coastal_exposure,wildfire_zone,swimming_pool,trampoline,wood_stove,home_business,monitored_alarm,fire_sprinklers,gated_community,recent_renovation,short_term_rental,smart_home_system,annual_loss
51,2,2069.741162603995,298120.4607271094,9,1.0831542953793265,0,4,671.3191214209528,447599.0665064869,500,5,104.78685280864985,No,No,No,No,No,No,No,No,No,No,No,No,0.0
14,5,3173.4148952580194,296073.0084210791,10,0.7998080233093648,1,3,733.9455862366774,271496.2540773806,1000,3,98.96330285000575,No,No,No,No,No,No,No,Yes,Yes,No,No,No,0.0
71,22,2119.8041600425468,294629.78005329665,1,2.4918096763043747,1,0,711.2903248004769,475169.9951656087,2500,2,99.09102575180418,No,No,No,No,No,Yes,No,No,Yes,No,No,No,0.0
60,6,3171.593245793983,357144.7107016521,9,3.875513241518458,0,9,754.2229970496621,213058.90743231314,500,4,62.388285058863076,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,0.0
20,35,2538.4701558401184,212150.29271835077,3,3.204583817190576,0,1,686.0796778302542,427040.4463651972,2500,5,55.57984903255446,No,No,No,No,No,No,Yes,No,No,No,No,Yes,0.0
74,0,2410.702085657039,355093.90052595135,6,0.7300630852873817,0,2,673.5991966215814,278587.5823938484,2500,2,140.6247367690953,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,0.0
74,5,2132.035148033107,305530.75703333877,2,2.0397236243267165,0,5,648.1170669218425,444903.1757745061,500,1,77.17069492405767,No,Yes,No,No,No,No,No,No,No,No,No,No,117881.27
23,23,2784.3740161275523,158982.18881147128,4,14.192663437970515,0,1,761.7112626939595,423225.27303455013,1000,4,83.31970501090309,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,0.0
2,36,2267.7950605467972,330387.0597837593,3,7.008700611426794,0,6,744.3531199489404,478221.36683944974,500,5,92.31834526778907,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,0.0
21,35,1640.721270931881,309113.5912048001,6,4.159535381736396,1,4,726.4936855161591,393972.11597750767,1000,2,102.49930857773748,No,No,Yes,No,No,Yes,No,No,No,No,No,No,16407.03
52,23,1620.7046854011787,230259.69617934877,1,0.8877091600671821,1,9,644.8697571186423,431261.2585631282,2500,2,98.20949936742177,No,No,No,No,No,No,Yes,No,No,No,No,No,0.0
1,37,2453.490773160563,312845.7287014496,4,3.0481192494197447,2,3,676.6414677160894,462578.36168393557,500,1,103.39649934995295,No,No,No,No,No,No,No,No,No,No,No,Yes,0.0
29,28,1655.5726689001026,194698.81439188457,1,3.375375284376247,0,0,745.6046640005486,426270.3202356166,2500,1,124.34065103495591,No,No,No,No,No,No,Yes,No,No,No,No,No,0.0
37,36,2162.6613658165,245223.69950437083,1,10.695403821719363,0,1,680.3320304987797,353626.7342417607,1000,5,99.35881649541969,No,No,No,No,No,No,No,No,No,No,No,No,0.0
1,31,2834.310723130655,302958.05335324915,4,2.46333853166971,0,5,724.782884320724,395504.4759090843,1000,3,63.54793395895274,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,0.0
63,24,2382.3821067366002,165150.6050145625,5,0.4500531658195553,1,1,754.4079571050966,227189.11949988262,2500,2,97.85594070000515,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,0.0
59,9,1766.7190778027514,207889.19374969724,7,6.341010317561237,0,2,704.839418674898,288152.48287963786,500,1,94.31957143528143,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,0.0
20,34,3045.9925069696837,219849.475259026,8,5.726694403362838,0,5,739.0666055318791,335349.6638449503,1000,2,129.12656932932788,No,No,Yes,No,No,No,Yes,No,No,No,No,No,0.0
32,24,2528.725142196821,306333.79864402465,3,3.6852810881430837,0,5,708.5370907646932,285476.03479962016,500,1,85.18091233692383,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0
75,26,2810.6757923224536,335307.1268115334,3,14.278913869839357,0,9,832.3122998129749,519459.5755448468,1000,4,109.46770012809985,No,No,No,No,No,No,No,No,No,Yes,No,Yes,58512.49
57,31,839.4649940744184,228575.8035410695,10,5.174375575970907,1,3,693.3362983724888,387137.2847366652,1000,3,91.98237667423868,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0.0
21,11,2398.5117269576476,224085.52135191136,4,1.608562754782311,0,6,717.2565496634865,416659.9266814856,1000,2,86.86263995239146,No,No,No,No,No,No,Yes,No,No,No,No,No,0.0
48,3,2705.294701827936,311048.9688032917,6,8.568355373883085,0,7,728.1754562492993,301136.3062458724,1000,2,91.39419808152068,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,0.0
58,25,3220.173185378795,308891.9919347837,2,1.2870189161157917,2,0,613.6675488950983,409074.8274845546,500,2,118.74888172960533,No,No,No,No,Yes,No,No,Yes,No,No,No,No,0.0
41,2,1321.7088495093749,243980.90096769042,6,12.268538087584906,0,9,742.0195224924554,354954.2739361104,500,5,102.86293916851524,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0
59,16,2923.66875351672,446297.6258085995,6,3.295597541652477,1,7,708.0286023099393,417210.0870167735,2500,5,57.44272365604996,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,0.0
79,8,3186.6281714207466,314751.29400659294,2,0.6241849538797432,0,8,688.4141260797721,271261.0624091253,1000,1,103.41216885021872,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0.0
14,28,989.6266136326124,286386.7938116779,5,2.6652489316470955,0,5,659.9946980802677,305666.8622286207,1000,1,96.0557052537657,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,0.0
61,0,2487.1546659218457,269112.7629710252,7,3.0297632457067,1,3,683.026051490614,319231.3129962542,1000,5,97.39076342244505,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0.0
61,17,2570.5724886044213,380706.55632116605,9,1.4963022923376315,0,7,733.999607029707,419706.15628496365,2500,1,74.40808470988436,No,No,Yes,No,No,No,Yes,No,No,No,No,No,0.0
46,19,2003.7954024088563,343603.5516506219,3,9.973599633420509,0,5,610.2746232653998,177968.2247403264,500,3,76.76594351065691,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,0.0
61,33,1905.9433239602263,160988.4423957621,7,5.0737705928113765,3,1,636.5152344946089,207395.00540729935,1000,4,86.74987606214214,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,18584.72
50,27,2600.7123479726934,244335.1074207414,3,1.409825751539867,2,8,757.4409377968619,472262.19592208037,500,5,83.99073465563998,No,No,No,No,No,No,No,No,Yes,No,Yes,No,32080.0
54,34,1831.0109479536209,264257.1033208999,2,5.15846536519134,1,3,727.5811760018538,286199.7213196822,500,2,101.13382071696807,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,0.0
63,15,2069.650402949141,299043.9079113765,4,1.7810675689427258,0,4,743.3757651817709,397075.49911670806,2500,1,85.93765424691726,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0.0
2,20,2687.460940494353,350170.79290843755,8,3.495601179438041,0,4,734.8116768534226,441183.36650765664,2500,1,111.310139610776,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,17074.8
50,12,3252.4258301961186,214387.841043456,5,6.229030015864012,0,7,687.2197066310592,339618.3178147715,2500,1,107.90800932488717,No,Yes,No,No,No,No,No,No,No,Yes,No,No,0.0
6,34,2522.790563525211,293647.4015913324,8,3.477856634704257,2,4,762.3277998355517,505408.3200284722,1000,4,108.0525323809857,Yes,No,No,No,No,No,No,No,Yes,No,No,No,37417.23
20,31,2280.090697248707,435941.32670865516,6,4.0775338911670715,1,8,760.6562711653188,384287.75996617076,1000,4,109.86614785100538,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,0.0
72,37,1890.1615092035377,302324.83218383533,1,5.463386542427453,1,4,656.5385665527607,432786.9643788533,2500,3,86.90546478969509,No,No,No,No,No,No,Yes,No,No,No,No,No,18658.48
38,5,1593.6399756093663,244456.36558338112,3,2.0189315267127865,0,7,744.0355495105537,396924.6471256146,1000,3,106.65574267879512,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,0.0
17,37,2865.74694490057,193263.05636650237,8,0.800873312057374,2,1,645.470596110401,375296.14775700925,2500,4,92.51893697354573,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0.0
3,37,2107.930089323869,261047.82996491756,4,5.213444154712452,2,1,754.3006328941724,374961.45258912304,2500,1,96.23827015805149,No,No,No,No,No,No,No,No,No,No,No,No,3053.21
